FIPS,NAMELSAD,median_renter_wage
0600000US4206315560,Conemaugh township,38182.0
0600000US4206384184,West Wheatfield township,0.0
0600000US4206329512,Glen Campbell borough,0.0
0600000US4213385728,Windsor borough,30714.0
0600000US4213358560,Peach Bottom township,26573.0
0600000US4211526648,Forest Lake township,27273.0
0600000US4211530736,Great Bend township,31250.0
0600000US4209504432,Bath borough,29276.0
0600000US4209532432,Hanover township,66750.0
0600000US4209542424,Lehigh township,41875.0
0600000US4209545104,Lower Saucon township,39858.0
0600000US4213370576,Shrewsbury township,67629.0
0600000US4213373096,Springfield township,52083.0
0600000US4213381056,Warrington township,30920.0
0600000US4213383432,West Manchester township,36200.0
0600000US4205917648,Cumberland township,26583.0
0600000US4205927408,Franklin township,25094.0
0600000US4205937888,Jefferson township,52065.0
0600000US4205930952,Greene township,38333.0
0600000US4205930640,Gray township,0.0
0600000US4205984608,Whiteley township,43977.0
0600000US4205951064,Morris township,0.0
0600000US4205931192,Greensboro borough,61250.0
0600000US4205981248,Washington township,30500.0
0600000US4205950992,Morgan township,47375.0
0600000US4209554872,North Catasauqua borough,40938.0
0600000US4209561088,Plainfield township,48365.0
0600000US4209576144,Tatamy borough,49514.0
0600000US4209579184,Upper Mount Bethel township,35854.0
0600000US4206916664,Covington township,36250.0
0600000US4211532080,Hallstead borough,22794.0
0600000US4211532568,Harford township,20391.0
0600000US4211534096,Herrick township,0.0
0600000US4209585256,Williams township,78112.0
0600000US4203754880,North Centre township,39034.0
0600000US4200732680,Harmony township,0.0
0600000US4204563264,Radnor township,66447.0
0600000US4204564800,Ridley township,44029.0
0600000US4204564832,Ridley Park borough,41570.0
0600000US4204566192,Rose Valley borough,0.0
0600000US4204569752,Sharon Hill borough,0.0
0600000US4204573032,Springfield township,73500.0
0600000US4201119664,Douglass township,60531.0
0600000US4201120680,Earl township,0.0
0600000US4201126280,Fleetwood borough,44808.0
0600000US4201134016,Hereford township,0.0
0600000US4201139256,Kenhorst borough,75511.0
0600000US4213177784,Tunkhannock borough,21346.0
0600000US4211541336,Lanesboro borough,16528.0
0600000US4211543120,Liberty township,26932.0
0600000US4211543928,Little Meadows borough,20625.0
0600000US4211553888,New Milford township,51429.0
0600000US4211556008,Oakland borough,39167.0
0600000US4201140656,Kutztown borough,22054.0
0600000US4201141768,Laureldale borough,40880.0
0600000US4211502712,Apolacon township,44750.0
0600000US4211514224,Clifford township,31726.0
0600000US4211542760,Lenox township,58750.0
0600000US4204578712,Upland borough,40237.0
0600000US4204578776,Upper Chichester township,44653.0
0600000US4204579248,Upper Providence township,55383.0
0600000US4204522296,Eddystone borough,28750.0
0600000US4200754072,New Sewickley township,58359.0
0600000US4211556016,Oakland township,31250.0
0600000US4211570776,Silver Lake township,51719.0
0600000US4211573440,Springville township,43269.0
0600000US4211576496,Thompson borough,31563.0
0600000US4211576504,Thompson township,22188.0
0600000US4211578456,Union Dale borough,0.0
0600000US4206981668,Waverly township,40556.0
0600000US4206902832,Archbald borough,41250.0
0600000US4206906928,Blakely borough,29868.0
0600000US4206911240,Carbondale township,51875.0
0600000US4206913864,Clarks Green borough,69000.0
0600000US4206913880,Clarks Summit borough,31862.0
0600000US4206918088,Dalton borough,50268.0
0600000US4206920352,Dunmore borough,40587.0
